id,company,role,idea_name,problem,mermaid_code,stack,priority,company_profile,job_summary,mvp_score,source,scraped_at,job_link,job_description
49,VectorShift (S23)•AI Operating System for Private Market Investors,Product Manager - Platform (India),LP Portfolio Intelligence Agent,"VectorShift's core platform handles ingestion and RAG well, but private equity/VC firms struggle to automate the quarterly LP reporting cycle. This requires synthesizing heterogeneous data (portfolio company updates, cap tables, market comps, legal docs) into a compliant, auditable narrative. The internal pain point is the lack of a standardized, agentic 'Platform Primitive' that orchestrates multi-step reasoning (retrieve -> calculate -> verify -> write) with deterministic citations, forcing high-touch manual assembly by deal teams.","graph TD;
    A[Trigger: Quarter End / LP Request] --> B{Orchestrator Agent
    (LangGraph)};
    B --> C[Data Ingestion Sub-Agent
    (PortCo Updates, Financials, Legal)];
    B --> D[Market Data Sub-Agent
    (Comps, Indices, News)];
    C --> E[Structured Extraction
    (KPIs, Valuations, Events)];
    D --> F[Benchmarking Engine
    (Python/Pandas)];
    E --> G[Synthesis Agent
    (Narrative Generation)];
    F --> G;
    G --> H[Citation & Verification Layer
    (Source Doc Mapping)];
    H --> I{Human-in-the-Loop
    Review UI (React)};
    I -->|Approved| J[Export: PDF / HTML / Data Room Push];
    I -->|Rejected| B;
    style B fill:#1f77b4,color:#fff;
    style G fill:#ff7f0e,color:#fff;
    style H fill:#2ca02c,color:#fff;","Node.js (API Gateway/Auth), Python (FastAPI - Orchestration/ML), React (HITL Dashboard), LangGraph (Agent Orchestration & State Management)",Zero-to-One,"VectorShift (YC S23) is an AI Operating System for Private Market Investors. It provides a unified platform for AI financial workflows—Due Diligence, Portfolio Monitoring, Fundraising, LP Reporting—built on a proprietary RAG and Agent infrastructure that guarantees full source traceability (document/page level). Customers (PE/VC firms) suffer from fragmented data rooms, manual memo writing, and hallucination risks in generic LLMs. Vision: Become the foundational 'OS' where every investment decision is augmented by verified, firm-specific AI agents.","Product Manager - Platform (India, Remote). Own the core platform roadmap: ingestion pipelines, RAG architecture, agent framework, and developer APIs. Work closely with founding team and US customers to translate complex financial workflows into scalable platform primitives. Requires 3+ yrs PM exp, technical depth (SQL, Python, APIs), and 0-1 product intuition. Comp $20k-$40k USD.","88/100. Technical Feasibility: 9/10 (Leverages existing VectorShift RAG/Infra). Time-to-Market: 9/10 (6-8 weeks using LangGraph on existing platform). Market Size: 8/10 (High urgency for GP/LP reporting automation, high ACV). Competitive Advantage: 9/10 (Citation accuracy + Private Data context is VectorShift's moat; generic LLMs fail here). Risk: Requires deep domain logic for 'GP speak' compliance.",unknown,,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2F%3Fsignup_job_id%3D102479&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=29001,FulltimeIN / Remote (IN)$20K - $40K
50,FleetWorks (S23)•AI enabled marketplace matching trucks with jobs,Product Manager,CarrierOps Autopilot,"FleetWorks' AI matching engine successfully finds loads for trucks, but the post-match operational workflow (rate confirmation, appointment scheduling, POD collection, detention tracking, invoicing) remains fragmented across email, phone, TMS, and factoring portals. This creates a 'last-mile' execution gap where matched loads fall through, carrier churn spikes, and the marketplace GMV leaks due to manual follow-up overhead that the PM team currently manages via internal ops slack channels rather than productized automation.","graph TD
    A[Load Matched by AI] --> B{Carrier Accepts?}
    B -- Yes --> C[Auto-Generate RateCon & Digital Signature]
    B -- No --> D[Re-match Engine Trigger]
    C --> E[Appointment Scheduling Bot
    (Shipper/Receiver API/Email/Call)]
    E --> F{Appointment Confirmed?}
    F -- Yes --> G[Driver Dispatch & Tracking Link]
    F -- No --> H[Escalation to Ops Co-pilot]
    G --> I[Real-time ETA & Geofence Alerts]
    I --> J[Proof of Delivery Capture
    (Photo/OCR/Signature)]
    J --> K[Auto-Invoice Generation &
    Factoring Submission]
    K --> L[Payment Settlement &
    Carrier Score Update]
    H --> C
    D --> A
    style A fill:#1f77b4,color:#fff
    style L fill:#2ca02c,color:#fff
    style H fill:#ff7f0e,color:#fff","Node.js (API Gateway/Orchestration), Python (ML Matching/OCR/Document Parsing), React (Carrier/Shipper Portal), Temporal.io (Durable Execution for Long-Running Workflows)",Zero-to-One,"FleetWorks (YC S23) is an AI-enabled freight marketplace rebuilding the $1T US trucking logistics network. Products: AI Load Matching Engine, Carrier Vetting/Onboarding, Automated Rate Negotiation. Customers: Small-to-Mid Carriers (1-50 trucks) struggling with empty miles and admin burden; Shippers/Brokers needing instant capacity. Pain Points: Fragmented communication (phone/email/fax), manual rate confirmation, appointment scheduling chaos, delayed payments. Vision: Fully autonomous freight brokerage where AI handles 95% of load lifecycle from tender to payment without human intervention.","Hiring a Product Manager in San Francisco to own the core marketplace loop. Responsibilities: Define product strategy for AI matching algorithms, carrier acquisition/retention tools, and shipper integration workflows. Work closely with ML engineers on ranking models, design UX for carrier mobile/web app, and drive GMV growth. Requires 3+ yrs PM exp, logistics/ marketplace experience preferred, high agency, technical fluency to spec APIs and analyze model performance.","88/100 - Technical Feasibility: 9/10 (Temporal.io + LLMs solve fragile long-running workflows); Time-to-Market: 8/10 (Core matching exists, this productizes the 'after-match' flow); Market Size: 10/10 ($1T TAM, high attach rate for workflow SaaS); Competitive Advantage: 9/10 (Data flywheel: better execution data -> better matching -> more volume -> more data). Risk: Carrier adoption of new UI vs SMS/Email habits.",unknown,,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2F%3Fsignup_job_id%3D106208&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=28880,FulltimeSan Francisco
51,FleetWorks (S23)•AI enabled marketplace matching trucks with jobs,Senior Product Manager,Carrier Commitment Engine (CCE),"FleetWorks' AI matching engine generates high-quality matches, but the 'last mile' of commitment—negotiating rate confirmations, verifying insurance/authority compliance in real-time, and securing digital signatures from fragmented, low-tech carrier dispatchers—remains a manual, high-latency bottleneck handled by human ops teams. This prevents the marketplace from achieving true 'autopilot' scaling and caps match-to-booked conversion rates.",graph TD; A[Inbound Load Posted] --> B{AI Matching Engine}; B --> C[Ranked Carrier Shortlist]; C --> D[Carrier Commitment Engine]; D --> E{Automated Compliance Check}; E -- Pass --> F[Dynamic Pricing & RateCon Gen]; E -- Fail --> G[Flag for Human Review]; F --> H[Multi-Channel Dispatch: App/SMS/Email/EDI]; H --> I{Carrier Response}; I -- Accept + E-Sign --> J[Instant Booking Confirmation]; I -- Counter/Negotiate --> K[AI Negotiation Bot (Guardrails)]; K --> J; I -- Timeout/Reject --> L[Auto-Rebroadcast to Next Carrier]; J --> M[TMS/Visibility Integration]; G --> N[Ops Dashboard Exception Queue];,"Node.js (API Gateway/Orchestration), Python (ML Pricing/Compliance Models), React (Carrier Portal/Dispatcher UI), Temporal.io (Durable Execution for Multi-step Booking Workflows)",Zero-to-One,"FleetWorks (YC S23) is rebuilding the $1T US freight marketplace by replacing manual brokerage workflows with AI agents. Products: AI Load Matching, Automated Carrier Sales/Procurement, Freight Visibility. Customers: Shippers (enterprise/mid-market) and Carriers (owner-operators to fleets). Pain points: Brokers rely on phones/email/fax; empty miles; slow negotiation; compliance fraud; lack of real-time visibility. Vision: A fully autonomous freight network where AI handles sourcing, vetting, booking, and tracking 24/7 without human intervention.","Senior Product Manager based in San Francisco. Own the core marketplace product roadmap: matching algorithms, carrier engagement tools, and shipper-facing workflows. Collaborate with ML engineers to define ranking/pricing logic. Deep user research with carriers/dispatchers. Define metrics for match quality, conversion, and automation rate. Requires 5+ yrs PM exp, marketplace/logistics domain expertise, and high technical fluency.","88/100 - Justification: Technical Feasibility (9/10): Leverages existing LLMs for negotiation, OCR for RateCon parsing, and Temporal for reliable state machines. Time-to-Market (9/10): Core matching exists; this product wraps the 'commitment' layer, shippable in 8-12 weeks. Market Size (10/10): Targets the $200B+ brokerage fee pool by automating the most expensive human labor step. Competitive Advantage (8/10): Creates a structural data moat (digital RateCon history, carrier responsiveness scores) that pure load boards (DAT, Truckstop) and digital brokers (Convoy legacy, Uber Freight) lack because they still rely on human ops for final booking.",unknown,,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2F%3Fsignup_job_id%3D106210&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=28880,FulltimeSan Francisco
52,Alguna (S23)•AI-Native CPQ & Billing for Modern Pricing Models,Customer Success Manager - North America,AI-Powered Quote-to-Revenue Health Engine,"Customer Success lacks real‑time, AI‑driven visibility into post‑onboarding health, causing churn, low expansion rates, and inefficient manual monitoring.",graph TD; A[Customer Success Manager] --> B[Onboarding]; A --> C[Health Monitoring]; A --> D[Renewal & Expansion]; B --> E[Data Ingestion]; C --> F[AI Health Scoring]; D --> G[Upsell Playbooks]; F --> H[Proactive Alerts];,"Node.js (Express) backend, Python (FastAPI + scikit‑learn) for AI health scoring, React (Next.js) frontend, PostgreSQL for transactional storage, Snowflake for analytics; best‑fit tool: LangChain for AI workflow orchestration.",Zero-to-One,"Alguna (S23) offers an AI‑native CPQ & billing platform tailored for B2B SaaS, AI, and fintech firms. The platform unifies the quote‑to‑revenue process by automating complex pricing, quoting, contract, and billing workflows across subscription, usage‑based, and hybrid models. Customers struggle with manual pricing logic, siloed systems, revenue leakage, and slow quote cycles. Alguna’s vision is to become the universal monetization engine that lets any product monetize any consumption pattern with AI‑driven optimization.","The Customer Success Manager – North America will own the post‑sale journey for US/CA clients, driving onboarding, adoption, health monitoring, renewal and expansion. Key duties include delivering ROI workshops, proactive health checks, coordinating with product and engineering, and acting as the customer’s advocate. Requires SaaS CS experience, strong analytical skills, and ability to work remotely across time zones.",86/100,unknown,,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2F%3Fsignup_job_id%3D99764&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=28844,"FulltimeNew York, NY, US / Remote (US; CA)$75K - $120K"
53,Alguna (S23)•AI-Native CPQ & Billing for Modern Pricing Models,Customer Success Manager - EMEA,Alguna Revenue Journey Orchestrator (RJO),"The role addresses the internal pain point of fragmented post‑sale engagement in EMEA – high churn, slow adoption, and inefficient renewal processes caused by lack of real‑time customer health insights and coordinated cross‑functional workflows.","graph TD;
    CS_Manager[Customer Success Manager] -->|feeds data| AI_Health[AI‑Driven Health Scoring];
    AI_Health -->|triggers| Renewal_Alert[Automated Renewal Alerts];
    Renewal_Alert -->|queues| RJO[Revenue Journey Orchestrator];
    RJO -->|orchestrates| Onboarding[Onboarding Workflow];
    RJO -->|orchestrates| Expansion[Expansion & Upsell Workflow];
    RJO -->|orchestrates| Billing_Integration[Billing & CPQ Sync];
    Billing_Integration -->|updates| Alguna_Core[Alguna CPQ & Billing Platform];
    Onboarding -->|feedback| CS_Manager;
    Expansion -->|feedback| CS_Manager;
    Billing_Integration -->|feedback| CS_Manager;","Node.js for API layer, Python for AI/ML health scoring, React for the RJO dashboard, and Apache Airflow for workflow orchestration.",Zero-to-One,"Alguna provides an AI‑native CPQ & billing platform tailored for AI, SaaS, and fintech B2B companies. Its core product automates complex pricing, quoting, and billing workflows, eliminating manual back‑office tasks and revenue leakage. Customers struggle with dynamic pricing models, fragmented quote‑to‑revenue processes, and scaling billing operations. Alguna’s vision is to unify and AI‑optimize the entire quote‑to‑revenue lifecycle, delivering flexible, data‑driven monetization at scale.","The EMEA Customer Success Manager will own onboarding, adoption, renewal and expansion for UK, Ireland and Germany customers (remote). Responsibilities include driving product value realization, monitoring AI‑generated health scores, coordinating cross‑functional teams, and ensuring high NPS and ARR growth across the region.","84/100 - Strong technical feasibility (leverages existing Alguna APIs and AI models), moderate time‑to‑market (requires Airflow integration and UI build ~3‑4 months), large addressable market in EMEA SaaS/FinTech firms, and a clear competitive edge by adding proactive, AI‑driven workflow automation to the core platform.",unknown,,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2F%3Fsignup_job_id%3D99742&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=28844,FulltimeGB / IE / DE / Remote (GB; IE; DE)$60K - $115K
54,"Solve Intelligence (S23)•AI patent drafting, prosecution, litigation and more for legal teams.",FulltimeLondon / Munich / New York$150K - $250K,AI Claim Chart & Litigation Brief Suite,"Internal pain point: The current platform excels at drafting and prosecution but lacks a streamlined, AI‑driven workflow for turning drafted claims into detailed claim charts and litigation briefs. Attorneys spend excessive manual time extracting claim scopes, mapping prior art, and drafting briefing documents, which hampers bandwidth and reduces the platform's value proposition for high‑stakes litigation support.",graph TD; A[Inventor/Attorney Input] --> B[AI Drafting Engine]; B --> C[AI Claim Chart Generator]; C --> D[AI Litigation Brief Builder]; D --> E[Attorney Review & Edit]; E --> F[Export (PDF/Word/Case Management)];,"Backend: Node.js (Express) + Python (FastAPI, PyTorch) for AI models; Frontend: React (Next.js) with TypeScript; Data Store: PostgreSQL + Elasticsearch for prior‑art indexing; DevOps: Docker + Kubernetes on AWS; Best‑fit tool: LangChain for prompt orchestration and multi‑step reasoning across the claim‑charting and brief‑generation pipeline.",Incremental,"Solve Intelligence builds an in‑browser AI‑powered document editor for the entire patent lifecycle—drafting, filing, prosecution, claim charting, litigation, and portfolio analytics. Over 700 IP teams across six continents use the platform to cut patent‑related workload by ~50%, lower costs, and accelerate time‑to‑grant. Customers (tech companies, inventors, and IP law firms) struggle with high patent costs (average $60K–$100K+), lengthy timelines, and labor‑intensive manual processes. Solve's vision is to democratize high‑quality, affordable patent work by embedding adaptable, jurisdiction‑aware AI directly into legal workflows.","Full‑time senior engineering role (London/Munich/New York) with compensation $150K‑$250K. The hire will own the design and delivery of the new AI Claim Chart & Litigation Brief Suite, extending the existing platform. Responsibilities include building end‑to‑end pipelines, integrating large language models, ensuring data privacy/compliance, collaborating with patent attorneys to fine‑tune outputs, and scaling the service for global deployment.",78/100,unknown,,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2F%3Fsignup_job_id%3D99321&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=28825,
55,David AI (S24)•Data for audio AI,"Product Manager, Research",Audio Dataset Lifecycle Manager (ADLM),"Scaling the end‑to‑end creation of high‑quality, diverse, and compliant audio datasets while keeping research teams aligned on specifications, annotation consistency, and rapid delivery to model training pipelines.","graph TD;
    PM[Product Manager, Research] --> DS[Define Dataset Specs];
    DS --> SRC[Source Audio (crowd, partners, web)];
    SRC --> QA[Automated Quality Scoring (Python ML)];
    QA --> AN[Human Annotation (React UI + Label Studio)];
    AN --> VER[Versioning & Metadata (Git LFS)];
    VER --> COMP[Compliance & Legal Check];
    COMP --> PUB[Publish to Model Training API];
    PUB --> ML[Model Training Teams];
    ML --> FEEDBACK[Feedback Loop];
    FEEDBACK --> DS;","Backend: Node.js (Express) + Python (FastAPI for audio processing, librosa, PyTorch for QA models); Frontend: React (TypeScript); Annotation Engine: Label Studio (integrated via API).",Zero-to-One,"David AI, founded in 2024 by Tomer Cohen and Ben Wiley, is a San Francisco‑based audio data research company trusted by leading AI labs to build proprietary audio datasets that power speech, music, and acoustic perception models. Their core service is the end‑to‑end creation, annotation, and delivery of high‑quality, diverse, and legally compliant audio data. Customers struggle with the scarcity of clean, labeled audio at scale, long turnaround times, and regulatory hurdles. David AI’s vision is to become the definitive source of audio data for the next generation of AI, enabling faster model development and higher performance across the industry.","The Product Manager, Research will own the product strategy and execution for David AI’s audio dataset pipelines. Responsibilities include translating research needs into detailed dataset specifications, prioritizing sourcing and annotation workflows, collaborating with engineering to build automated quality‑scoring models, overseeing human‑in‑the‑loop annotation platforms, ensuring compliance, and delivering datasets to AI labs on schedule. The role requires strong cross‑functional leadership, deep understanding of audio data challenges, and the ability to drive roadmap decisions in a fast‑moving startup environment.","78/100 - Technical feasibility is high thanks to existing Node.js, Python, and React expertise; time‑to‑market is moderate (3‑4 months for a functional MVP with automated QA and integrated Label Studio); market size is large as every speech/ audio AI model needs curated data; competitive advantage stems from a unified lifecycle platform that combines AI‑assisted QA, versioned metadata, and compliance in one workflow, a capability few niche data vendors currently offer.",unknown,,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2F%3Fsignup_job_id%3D106771&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=29759,FulltimeSan Francisco$190K - $260K
56,SkillsCapital,AI Product Experience & Product Growth Lead — Global AI-Native Tech Talent Venture,AI Talent Journey Orchestrator,"SkillsCapital lacks an end‑to‑end, AI‑driven workflow that seamlessly connects talent discovery, skill validation, personalized up‑skilling, and placement while providing real‑time growth insights. This fragmentation hampers product experience, slows user onboarding, and limits data‑driven growth initiatives.",graph TD; A[Identify Talent Gap] --> B[AI‑Powered Sourcing]; B --> C[Automated Skill Mapping]; C --> D[Personalized Learning Path]; D --> E[Match & Placement]; E --> F[Growth & Retention Analytics];,Node.js (Express) + Python (FastAPI + PyTorch) + React + LangChain (LLM orchestration),Zero-to-One,"SkillsCapital is a global AI‑native tech talent venture that operates an AI‑powered talent marketplace, up‑skilling platform, and enterprise matching service. Its customers—tech firms, startups, and Fortune‑500 enterprises—struggle with talent shortages, skill mismatches, and slow hiring cycles. SkillsCapital’s vision is to democratize access to world‑class AI talent, accelerate AI adoption across industries, and create a self‑sustaining ecosystem where talent continuously up‑skills and companies instantly find the right AI experts.","Lead the definition and delivery of AI product experiences and growth strategies for SkillsCapital’s talent platform. Own the product roadmap, conduct user research, design AI‑driven workflows, run growth experiments, and collaborate cross‑functionally with engineering, data science, and sales to scale user acquisition, activation, and retention globally.","78/100 - Technical feasibility is high due to mature Node/Python/React stacks and LangChain for LLM orchestration; time‑to‑market is moderate (3‑4 months for core workflow); market size is large (global AI talent market projected >$30B); competitive advantage stems from proprietary AI‑driven skill mapping and continuous learning loops, though execution risk remains in data integration and user adoption.",unknown,,https://www.linkedin.com/jobs/view/4455496987/?eBP=CwEAAAGgRu4xrZtVDE44jo2ZDGNw64ci0Mjl1a1MzrRuvQX-e7Xy_mz4dKjJGFsLBo1TxCTCkYuANdpJV3Z69W67djY92ARwxO7HnaAsknJI413l8kdMrEDHd-mx2PO6YCTNWUXov9HVEvkjSO2HvjmJEQCcTZVCsqj3PSOr0LnDZENoKY0rn0UUUexs2FKub4NjVuWYD9VdI-NB9hKIMv4_G4xh1K8EnfjlYFyXCbuzxdm7b-3wLvlLsVb2hGKNj1wW4Hf7i3ZREL9zImKhRb-4CCDEWPe6KuPO3fOHl5n3ZxqgoWcOS8NqRvhheJQpsXgeaqTd-RC0Ds28FdUdEGMxe2aQZtefWpIYXCtQ6-IzQ9-itARYxhOmhuSQNx-ZDpEBGtG5X5YG705NmO-jEBc5L5U2iJX9xv9fAXJng-hYU-_8LL-k--AHFllqw_c5F6GWdDJ8udidml-F4n2MUpR1LSSc7Hkda7REZOKfDACG1lH1-gXnnvHjjBWAYf5KOQKHXmq0Xaw_9DwbTQ-rskJqgmk&refId=lHqv1UPN100GBWzsysWXZg%3D%3D&trackingId=fuZwHq4XELmstozmdYIiMw%3D%3D&trk=flagship3_search_srp_jobs,LinkedIn Job Posting
57,IIFL Capital Services Limited,Product Manager – Partnerships & Cross-Sell,PartnerConnect Suite – End‑to‑End Partnership Lifecycle & Cross‑Sell Platform,"IIFL Capital Services’ partnership ecosystem (banks, fintechs, B2B channels) is managed through siloed spreadsheets, ad‑hoc APIs and manual hand‑offs, causing delays in partner onboarding, inconsistent product bundling, low cross‑sell conversion, poor visibility of revenue share and compliance risk. The internal pain point is the lack of a unified, data‑driven workflow that can onboard partners, design bundled offers, push personalized cross‑sell recommendations and track performance in real time.","graph TD;
    A[Partner Onboarding] --> B[Product Bundling & Pricing];
    B --> C[Cross‑Sell Recommendation Engine];
    C --> D[Offer Delivery (API / UI)];
    D --> E[Real‑time Performance Analytics];
    E --> F[Revenue Settlement & Compliance];
    F --> A;  // loop for continuous partner refresh","Backend: Node.js (Express) + Python (FastAPI for ML services); Frontend: React (TypeScript) UI; Orchestration & ETL: Apache Airflow; Data Store: PostgreSQL + Redis; Cloud: AWS (ECS/EKS, S3, Lambda).",Zero-to-One,"IIFL Capital Services Limited, a subsidiary of IIFL Group, provides a suite of financial solutions including retail & SME loans, wealth management, asset financing, and capital market services. Customers range from individual retail investors and salaried professionals to small‑business owners and high‑net‑worth individuals. Their key pain points are limited access to quick credit, fragmented digital onboarding, and lack of personalized product recommendations. IIFL’s vision is to democratize financial services through technology‑enabled, customer‑centric products that deliver speed, transparency, and tailored value.","The Product Manager – Partnerships & Cross‑Sell will own the end‑to‑end product strategy for partnership‑driven revenue streams. Responsibilities include defining partner onboarding frameworks, designing bundled financial offers, building data‑driven cross‑sell recommendation models, collaborating with engineering, sales, compliance and analytics teams, launching pilot programs, and iterating based on KPI performance. The role demands strong stakeholder management, fintech partnership experience, and the ability to translate market insights into scalable product features.","78/100 - Technical feasibility is high (Node.js, Python ML, React, Airflow are mature); time‑to‑market moderate (core workflow can be MVP in 4‑6 months); market size sizable given IIFL’s extensive partner network; competitive advantage moderate as few Indian lenders have a unified partnership‑cross‑sell platform, but execution risk exists around data integration and regulatory compliance.",linkedin,2026-08-28T08:24:48.596Z,https://www.linkedin.com/jobs/view/4452549941/?eBP=CwEAAAGgR3icsl_jBan5Sy-suIekLS8a9D8wuxsqXquLxvL4mcXoD3BX1Wjs1e8wZgzjzFRARV5Z1n-Y0LnxC5-wUNwHEogkqzIwWLAzAjAdJP2cEBuuI97DIKmnxOM4pOE5tbqB5bFxOLgg6Ry0G7Du1SHLTDsxq_7cfEK91dUSjW_Z_-05QIVS4nWxVnYbmXwDrYdE0aH1C4A1NXCdTLmXoyvpW5JmXTCPw6Qlf1BIDT3GuNHI5BXPF9KIkJC7h9xYS13CBlCtlc9RjZerO9nd6cLNDnU32PXbrCuRusrCz4J5z6r7nTCQ4N1PLCJnQ70gkNXqgMBVfdgTqLqrcuKn95cPcWdFdvqQ9RvRhq81nIG2_D6z1KWcYQmP36-jGzUlJrTkuLsQeVjulH37IY4QzARfPJ63HgjhaeJh6zIqQR682pT-1HwDShe-k81Duu9zAr9Wh86JB0UeL9XOKJO4W7rQqoEKcV2LQuphn_IkD_RAw96T&refId=zL3pSbAtGXfFIjnwa2DlgA%3D%3D&trackingId=1KYeU9d5FtM534nybXf7pQ%3D%3D&trk=flagship3_search_srp_jobs,LinkedIn Job Posting
58,Lance (W26)•AI Agents That Run Hotel Operations.,Lance (W26)•AI Agents That Run Hotel Operations.,Smart Work Order Orchestrator,"Lance lacks a dedicated product engineer to architect and implement end‑to‑end AI‑driven workflow pipelines that translate guest requests and operational data into automated, optimally assigned work orders, causing delays in feature rollout and scalability bottlenecks.",graph TD; A[Guest Request (call/chat)] --> B[AI Agent (NLP/LLM)]; B --> C[Intent Classification]; C --> D[Task Generation]; D --> E[Staff Assignment Engine]; E --> F[Staff Notification (messaging)]; F --> G[Task Execution]; G --> H[Feedback Loop (metrics)]; H --> I[Continuous Learning];,"Node.js (NestJS) for API gateway, Python (FastAPI) for AI services, React (Next.js) for UI, Temporal.io for reliable workflow orchestration, LangChain for LLM orchestration (as the best‑fit tool).",Zero-to-One,"Lance, founded in 2026 by Gavin Brennen, Caleb Chan, and Gatik Trivedi, is a San Francisco‑based startup offering an AI‑powered operations platform that unifies guest calls, staff messaging, housekeeping, work orders, and scheduling for hotels. Hotels struggle with fragmented communication, manual task routing, and inefficient staffing, leading to higher labor costs and lower guest satisfaction. Lance’s vision is to become the operating system of hospitality, where autonomous AI agents run daily operations, delivering faster service, lower costs, and a seamless guest experience.","Full‑time Product Engineer in San Francisco ($150K‑$250K). Responsible for designing, building, and scaling AI‑driven workflow components of Lance’s hotel operations platform, integrating LLMs, developing robust APIs, implementing real‑time messaging, and collaborating with design, data, and product teams to deliver reliable, high‑performance features.","82/100 - High technical feasibility (strong Node/Python/React stack and Temporal.io), moderate time‑to‑market (requires AI model fine‑tuning and workflow testing), large market size (global hotel industry > $500B), and differentiated competitive advantage (AI‑first autonomous work‑order routing) yielding a solid overall MVP potential.",yc,2026-08-28T08:09:37.393Z,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2F%3Fsignup_job_id%3D94302&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=31089,"Product Engineer FulltimeSan Francisco, CA, US$150K - $250K"
59,Dedalus Labs (S25)•Compute substrate for AI agents,Dedalus Labs (S25)•Compute substrate for AI agents,Chronos: Agent Time-Travel Debugger,"AI Agent developers cannot reliably debug non-deterministic, long-running autonomous workflows because existing observability tools only show logs/metrics, not full system state (memory, disk, network) at arbitrary past timestamps. Dedalus's unique <50ms microVM snapshot/restore capability solves the capture mechanism, but lacks a productized 'replay' interface.",graph TD; A[Agent Developer] --> B[Dedalus SDK / API]; B --> C{Provision MicroVM <50ms}; C --> D[Agent Execution Loop]; D --> E[Continuous CRIU Snapshots]; E --> F[Chronos Ingest Pipeline]; F --> G[ClickHouse Trace Store]; G --> H[Replay Engine]; H --> I[React Debugger UI: Time-Travel / Step-Back / Fork State]; I --> A;,"Node.js (API Gateway & Auth), Python (Agent SDK, Orchestration, Replay Engine), React (Debugger Frontend), ClickHouse (Analytical Trace Storage & Time-Series Queries)",Zero-to-One,"Name: Dedalus Labs (S25). Product: Compute Substrate for AI Agents — Full Linux MicroVMs booted in <50ms, Persistent Runtime (Never Sleep), Pay-per-active-compute. Customers: AI Agent Framework Developers, Enterprise AI Platform Teams. Pain Points: Unpredictable cold starts breaking agent autonomy; Inability to maintain state across scaling events/crashes; Cost inefficiency of paying for idle 'thinking' time. Vision: To become the foundational 'Agent OS' layer, abstracting infrastructure complexity so developers define agents, not servers.","Product Manager Intern (Summer 2027) responsible for defining the product strategy for the agent compute platform. Key focus: Translating low-level systems capabilities (sub-50ms boot, CRIU-based persistence) into high-leverage developer primitives (APIs, SDKs, Workflow Primitives). Owns roadmap prioritization, developer experience (DX) research, and go-to-market coordination for the 'Agent OS' layer.","85/100 - Justification: Technical Feasibility (9/10) - Core infra (MicroVMs, CRIU) is operational; Replay engine is the main build. Time-to-Market (7/10) - Intern starts 2027, but core team can prototype now; ClickHouse/React stack is mature. Market Size (9/10) - Agent observability/debugging is a critical unmet need in exploding agent market. Competitive Advantage (9/10) - Unique 'Full Linux + Persistence + Speed' substrate enables deterministic replay impossible on serverless functions or standard K8s.",yc,2026-08-28T08:09:37.393Z,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2F%3Fsignup_job_id%3D98000&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=30605,"Product Manager Summer 2027 Intern InternSan Francisco, CA, US$4K - $8K / monthly"
